,x 1,xerr 1,y 1,yerr 1,,x 2,xerr 2,y 2,yerr 2,,x 3,xerr 3,y 3,yerr 3,,x 4,xerr 4,y 4,yerr 4,Latex,x 5,xerr 5,y 5,yerr 5,,x 6,xerr 6,y 6,yerr 6,,x 7,xerr 7,y 7,yerr 7,,x 8,xerr 8,y 8,yerr 8,,x 9,xerr 9,y 9,yerr 9,,x 10,xerr 10,y 10,yerr 10,,x 11,xerr 11,y 11,yerr 11,,xerr 12,y 12,yerr 12,,xerr 13,y 13,yerr 13,,xerr 14,y 14,yerr 14,,x 15,y 15,yerr 15,,x 16,y 16,yerr 16,,x 17,y 17,yerr 17,,x 18,y 18,yerr 18
,,,,,,,,,,,0.872664625997165,0.020153326269269,2.94,0.115470053837925,,,,,,,,,,,,,,,,,150,0,0.902439024390244,0,,,,,,,,,,,,50,1.15470053837925,2.94,0.034641016151378,,15,0,2.64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.959931088596881,0.020153326269269,2.4,0.034641016151378,,,,,,,,,,,,,,,,,160,0,0.975609756097561,0,,,,,,,,,,,,55,1.15470053837925,2.4,0.034641016151378,,16,0,2.58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.0471975511966,0.020153326269269,1.5,0.034641016151378,,,,,,,,,,,,,,,,,170,0,1,0,,,,,,,,,,,,60,1.15470053837925,1.5,0.034641016151378,,17,0,1.86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,0,1,0,,,,,,,,,,,,,,,,,18,0,1.14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,1.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,1.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,2.58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,3.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,3.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,2.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
