,x 1,xerr 1,y 1,yerr 1,,x 2,xerr 2,y 2,yerr 2,,x 3,xerr 3,y 3,yerr 3
,10,0,0.999959137171591,8.899525275E-07,,48,1.15470053837925,9.75,0.163663417676994,,0,0,0.997321142928116,1.411392744E-05
,9,0,0.999907246783729,1.341209245E-06,,62,1.15470053837925,12.375,0.375,,1,0,0.996717058105757,1.616923622E-05
,8,0,0.999855596850759,1.673975433E-06,,70,1.15470053837925,14.125,0.226581741793741,,2,0,0.996024772800002,1.801811933E-05
,7,0,0.999804659207185,1.947529406E-06,,,,,,,3,0,0.995388294740096,1.962680778E-05
,6,0,0.999754128625123,3.087849916E-06,,,,,,,-1,0,0.997965888032304,1.242938866E-05
,5,0,0.999703692805696,3.390092104E-06,,,,,,,-2,0,0.998606930253477,1.015628574E-05
,,,,,,,,,,,-3,0,0.999241961334124,7.395500593E-06
