RC,x1 1,x2 1,x3 1,x4 1,x5 1,,x1 2,x2 2,x3 2,x4 2,x5 2,,x1 3,x2 3,x3 3,x4 3,x5 3,,x1 4,x2 4,x3 4,x4 4,x5 4,,x1 5,x2 5,x3 5,x4 5,x5 5,,x1 6,x2 6,x3 6,x4 6,x5 6,,x1 7,x2 7,x3 7,x4 7,x5 7,,x1 8,x2 8,x3 8,x4 8,x5 8,,x1 9,x2 9,x3 9,x4 9,x5 9,,x1 10,x2 10,x3 10,x4 10,x5 10,,x1 11,x2 11,x3 11,x4 11,x5 11,,x1 12,x2 12,x3 12,x4 12,x5 12,,,,RL,x1 13,x2 13,x3 13,x4 13,x5 13,,x1 14,x2 14,x3 14,x4 14,x5 14,,x1 15,x2 15,x3 15,x4 15,x5 15,,x1 16,x2 16,x3 16,x4 16,x5 16,,x1 17,x2 17,x3 17,x4 17,x5 17,,x1 18,x2 18,x3 18,x4 18,x5 18,,x1 19,x2 19,x3 19,x4 19,x5 19,,x1 20,x2 20,x3 20,x4 20,x5 20,,x1 21,x2 21,x3 21,x4 21,x5 21,,x1 22,x2 22,x3 22,x4 22,x5 22,,x1 23,x2 23,x3 23,x4 23,x5 23,,x1 24,x2 24,x3 24,x4 24,x5 24,,x1 25,x2 25,x3 25,x4 25,x5 25,,,,"RLC, R",x1 26,x2 26,x3 26,x4 26,x5 26,,x1 27,x2 27,x3 27,x4 27,x5 27,,x1 28,x2 28,x3 28,x4 28,x5 28,,x1 29,x2 29,x3 29,x4 29,x5 29,,x1 30,x2 30,x3 30,x4 30,x5 30,,x1 31,x2 31,x3 31,x4 31,x5 31,,x1 32,x2 32,x3 32,x4 32,x5 32,,x1 33,x2 33,x3 33,x4 33,x5 33,,x1 34,x2 34,x3 34,x4 34,x5 34,,,,"RLC, L",x1 35,x2 35,x3 35,x4 35,x5 35,,x1 36,x2 36,x3 36,x4 36,x5 36,,x1 37,x2 37,x3 37,x4 37,x5 37,,x1 38,x2 38,x3 38,x4 38,x5 38,,x1 39,x2 39,x3 39,x4 39,x5 39,,x1 40,x2 40,x3 40,x4 40,x5 40,,x1 41,x2 41,x3 41,x4 41,x5 41,,x1 42,x2 42,x3 42,x4 42,x5 42,,x1 43,x2 43,x3 43,x4 43,x5 43,,x1 44,x2 44,x3 44,x4 44,x5 44,,,,"RLC, C",x1 45,x2 45,x3 45,x4 45,x5 45,,x1 46,x2 46,x3 46,x4 46,x5 46,,x1 47,x2 47,x3 47,x4 47,x5 47,,x1 48,x2 48,x3 48,x4 48,x5 48,,x1 49,x2 49,x3 49,x4 49,x5 49,,x1 50,x2 50,x3 50,x4 50,x5 50,,x1 51,x2 51,x3 51,x4 51,x5 51,,x1 52,x2 52,x3 52,x4 52,x5 52,,x1 53,x2 53,x3 53,x4 53,x5 53,,x1 54,x2 54,x3 54,x4 54,x5 54
1-12,2.04,1.5,1.36,46.7,-43.2,,2.02,1.86,0.88,62.8,-23,,1.98,1.9,0.584,71.2,-16.6,,1.98,1.93,0.448,76.5,-12.4,,1.97,1.94,0.368,76.9,-10.3,,1.97,1.93,0.304,79.5,-8.2,,1.96,1.94,0.264,78.6,-7.34,,1.68,0.184,1.7,6.47,-84.4,,2,0.616,1.9,18.4,-72.2,,1.92,0.408,1.9,14,-77.8,,2.02,0.956,1.78,28.8,-60.6,,2.02,1.24,1.6,36,-52.3,,,,13-25,2.06,1.27,1.6,-41.4,52,,2.06,0.784,1.96,-20.4,69,,2.08,0.544,2.04,-16.6,74.5,,2.06,0.424,2.04,-10,80,,2.06,0.336,2.08,-9.9,87.8,,2.08,0.28,2.06,-6.47,84.9,,2.1,0.24,2.1,-9.25,87.9,,2.04,1.72,1.08,-60.5,31.3,,1.98,1.88,0.48,-73.4,13.2,,2.06,1.86,0.76,-74.8,19.4,,2.04,1.88,0.96,-63.2,23.7,,2.06,1.64,1.24,-55.3,34.2,,2.06,1.44,1.48,-46,43.3,,,,26-34,1.9,0.408,1.86,12.1,-76.3,,1.98,0.8,1.82,24.8,-66.2,,2.02,0.96,1.78,27.8,-60.6,,2.02,1.1,1.7,32.9,-57.1,,2,1.31,1.5,40.3,-49.2,,2,1.46,1.38,46.3,-42.7,,1.98,1.8,0.8,62,-22.2,,2,1.88,0.4,64.8,-8.64,,2,1.96,0.28,51.7,-7.54,,,,35-44,2.00,0.236,1.98,5.04,-80.30,,2.00,0.458,1.94,13.00,-74.90,,2.02,0.864,1.84,26.40,-63.80,,2.02,1.03,1.74,30.50,-58.00,,2.02,1.18,1.64,35.40,-52.70,,2.02,1.38,1.48,44.00,-44.20,,2.02,2.00,0.320,75.60,-7.92,,2.02,1.96,0.480,75.70,-11.90,,2.02,1.88,0.760,66.80,-20.10,,2.02,2.00,0.220,70.90,-4.50,,,,45-54,2.02,1.74,1.04,-62.60,29.90,,2.00,1.34,1.52,-42.60,49.10,,2.00,1.02,1.76,-30.20,61.40,,2.00,0.800,1.86,-24.50,67.10,,2.00,0.560,1.96,-17.70,75.00,,2.00,0.352,2.02,-10.80,82.10,,2.00,0.176,2.02,-5.77,87.90,,1.96,1.88,0.576,-74.00,15.10,,1.64,1.62,0.220,-89.30,6.48,,2.00,1.88,0.700,-72.80,18.60
,2.04,1.52,1.36,46.1,-43.6,,2.02,1.86,0.88,63.7,-25.1,,1.98,1.88,0.576,71,-16.4,,1.98,1.91,0.448,75.7,-12.7,,1.96,1.94,0.36,77.8,-10.1,,1.97,1.94,0.304,77.9,-7.48,,1.97,1.95,0.264,78.2,-7.39,,1.68,0.184,1.66,5.04,-86,,2,0.616,1.9,18.4,-72.4,,1.94,0.408,1.9,13,-78.5,,2,0.952,1.78,27.9,-60.3,,2,1.24,1.6,35.3,-52.4,,,,,2.08,1.28,1.6,-38.9,49.4,,2.08,0.748,1.94,-23.7,68.1,,2.08,0.544,2.04,-16.8,78.1,,2.08,0.424,2.06,-13.3,82.5,,2.06,0.344,2.1,-10.8,84.6,,2.06,0.288,2.1,-5.77,89,,2.06,0.24,2.08,-9.49,91.9,,2.04,1.74,1.08,-62.2,31,,1.98,1.88,0.48,-73.8,12.7,,2.04,1.88,0.76,-72.9,20.5,,2.06,1.8,0.92,-65.9,25.5,,2.04,1.64,1.24,-55.4,35.5,,2.04,1.48,1.48,-44.4,44.4,,,,,1.9,0.408,1.86,11.8,-76.3,,2,0.8,1.86,24.8,-65.1,,2,0.96,1.78,28.8,-59,,2.02,1.1,1.7,32.9,-58,,2,1.31,1.52,39.7,-49,,2,1.46,1.34,46.9,-42.3,,1.98,1.8,0.8,62.2,-22.2,,1.98,1.92,0.4,64.8,-8.64,,2,1.94,0.28,61.3,-7.57,,,,,2.00,0.236,1.98,6.11,-80.90,,2.00,0.458,1.94,12.20,-74.90,,2.02,0.864,1.84,24.90,-63.80,,2.04,1.02,1.74,31.00,-58.30,,2.02,1.17,1.64,36.70,-52.00,,2.02,1.38,1.48,43.80,-46.40,,2.02,1.98,0.320,72.90,-8.66,,2.02,1.96,0.480,72.40,-11.40,,2.02,1.88,0.760,66.80,-20.10,,2.02,2.00,0.200,70.90,-4.80,,,,,2.02,1.74,1.04,-61.50,29.50,,2.00,1.34,1.52,-40.30,50.00,,2.00,1.04,1.76,-30.20,62.50,,2.00,0.800,1.86,-24.60,66.50,,2.00,0.560,1.98,-19.50,74.10,,2.00,0.352,2.02,-10.10,82.10,,2.00,0.184,2.02,-5.40,84.60,,1.96,1.88,0.576,-75.70,15.80,,1.64,1.62,0.220,-90.70,7.20,,2.00,1.88,0.680,-71.00,17.30
,2.04,1.52,1.36,46,-43.2,,2.04,1.84,0.84,64.4,-24.5,,1.97,1.9,0.576,72.1,-16.8,,1.97,1.93,0.44,75.5,-12.7,,1.97,1.93,0.36,74.5,-9.72,,1.98,1.94,0.304,78.6,-8.2,,1.97,1.94,0.264,77.6,-7.9,,1.68,0.184,1.7,5.75,-84.5,,1.98,0.616,1.9,19.9,-72.2,,1.92,0.412,1.9,13.7,-78.3,,2,0.952,1.78,29.7,-58.9,,2,1.26,1.6,35.1,-52.5,,,,,2.06,1.29,1.6,-39.9,51.1,,2.06,0.784,1.92,-21.5,68.2,,2.08,0.544,2.02,-17,76.9,,2.06,0.424,2.06,-13.7,80.5,,2.08,0.344,2.08,-10.2,81,,2.06,0.288,2.08,-6.9,86.2,,2.08,0.24,2.1,-7.61,89.4,,2.04,1.72,1.08,-62.1,30,,1.98,1.88,0.48,-74,12.7,,2.04,1.88,0.76,-74.5,18.2,,2.06,1.8,0.92,-65.2,25.3,,2.04,1.64,1.24,-52.5,36.2,,2.02,1.48,1.48,-46.1,42.2,,,,,1.9,0.408,1.86,11.8,-76.3,,2,0.8,1.84,26,-65.8,,2,0.96,1.78,28.8,-59,,2,1.1,1.7,32,-57.1,,2,1.31,1.5,40.3,-47.2,,2,1.46,1.34,44.6,-40.3,,2,1.82,0.8,61.2,-22.3,,1.98,1.88,0.4,64.8,-8.64,,2,1.94,0.32,55.1,-7.57,,,,,2.00,0.238,1.98,6.47,-79.80,,2.00,0.458,1.94,12.90,-73.50,,2.02,0.864,1.82,26.10,-64.10,,2.02,1.03,1.74,31.30,-56.80,,2.02,1.18,1.64,36.30,-52.70,,2.02,1.38,1.46,42.80,-44.50,,2.02,1.98,0.320,70.60,-7.62,,2.02,1.96,0.480,72.90,-11.30,,2.02,1.88,0.760,66.20,-21.60,,2.02,2.00,0.200,61.90,-3.60,,,,,2.00,1.76,1.04,-60.80,30.20,,2.00,1.34,1.52,-42.80,48.60,,2.00,1.02,1.76,-29.10,60.30,,2.00,0.800,1.86,-23.00,66.20,,2.00,0.560,1.96,-18.60,74.90,,2.00,0.352,2.02,-10.10,83.00,,2.00,0.184,2.02,-6.11,84.50,,1.96,1.88,0.576,-72.80,15.10,,1.66,1.64,0.220,-92.20,6.48,,1.98,1.88,0.680,-71.00,18.60
,2.04,1.52,1.4,46.1,-43.1,,2.02,1.84,0.84,63.2,-23.6,,1.97,1.88,0.574,72.2,-17.4,,1.97,1.91,0.448,76.6,-11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,1.27,1.6,-38.9,51.6,,2.08,0.784,1.94,-23,68.5,,2.08,0.552,2.02,-17.3,78.1,,2.06,0.416,2.04,-13,80.8,,2.08,0.344,2.06,-8.1,84.6,,2.08,0.288,2.08,-10.9,88.4,,2.08,0.24,2.08,-8.03,89.7,,2.06,1.74,1.12,-61.9,30.2,,1.98,1.88,0.48,-73.2,13,,2.04,1.88,0.76,-79.3,18.6,,2.06,1.8,0.92,-68.1,24.8,,2.04,1.64,1.24,-52.7,35.4,,2.06,1.48,1.48,-47,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,1.88,0.760,66.20,-22.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.06,1.5,1.4,47.6,-42.5,,2.04,1.86,0.88,63.4,-23.9,,1.98,1.87,0.584,71.5,-17.3,,1.98,1.91,0.448,75.5,-13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
